frame_index,material_id,formula,n_atoms,ref_bec_asr_max_abs,pred_bec_asr_max_abs
35,mp-23178,Cl18W3,21,0.01717000000000013,7.89999997419244e-07
266,mp-8016,Al2Cu2Se4,8,0.01705999999999963,1.009999999634914e-06
956,mp-753156,La2O7Th2,11,0.017059999999998965,1.6499999997421355e-06
665,mp-550514,La2N4O2Ta2,10,0.016829999999997902,2.1399999967641747e-06
69,mp-684690,Sc4Se6,10,0.016499999999999737,2.40000000761853e-07
442,mp-28084,Br6PdRb2,9,0.016480000000000272,4.0000000034456917e-07
783,mp-2715,As8Co4,12,0.016009999999999636,1.43000000063509e-06
564,mp-7643,Ag2K4Sb2,8,0.015759999999999774,5.600000001493299e-07
29,mp-706,F2Hg2,4,0.01549000000000067,2.9999999995311555e-07
779,mp-15649,As8Ir4,12,0.015339999999997467,1.4400000010184044e-06
1204,mp-866062,HfRu2Si,4,0.015320000000000888,1.90999999993835e-06
930,mp-2114,NY,2,0.01529999999999987,9.599999999387876e-07
1363,mp-28912,Br12In4Mn4,20,0.015240000000002363,3.099999978939394e-07
1038,mp-541236,As12Hf4Na20,36,0.015179999999999971,5.899999964142921e-07
710,mp-13538,K2Pr2Se8Si2,14,0.015020000000000006,1.1400000023975565e-06
483,mp-22947,Cl6K2Re,9,0.014810000000000656,6.699999994808081e-07
103,mp-7441,K8P8,16,0.014800000000001368,2.399999999846969e-07
1388,mp-8717,Mn2Rb4Se4,10,0.014599999999999058,4.899999994645299e-07
274,mp-3779,Cr2Si2Te6,10,0.01449999999999907,3.500000004263981e-07
72,mp-568656,C10Si10,20,0.014490000000003445,9.60000004823769e-07
901,mp-570377,As4Sn3,7,0.014340000000000686,2.500000002569891e-07
23,mp-569175,Cl8Zr2,10,0.014259999999999717,6.599999997636274e-07
244,mp-9845,As2Ca2Rb2,6,0.014129999999999754,2.399999998736746e-07
1107,mp-14205,As2Cu3K3,8,0.013949999999999463,3.0000000039720476e-07
173,mp-546007,La4Mo2O12,18,0.013900000000003132,2.139999999872799e-06
827,mp-583463,Cl18Fe6,24,0.013769999999997395,7.100000021242892e-07
778,mp-1536,K8Sb8,16,0.013639999999999763,5.199999993377169e-07
1243,mp-17926,Ni6Sb8Zr6,20,0.01359999999999506,9.400000027248723e-07
927,mp-19009,Ni2O2,4,0.013550000000000395,9.500000004436515e-07
418,mp-9244,C2B2Li2,6,0.013379999999999725,4.0999999884050453e-07
1071,mp-12908,AgScSe2,4,0.013349999999999973,4.699999993640347e-07
1074,mp-29662,BiSe2Tl,4,0.013059999999999405,4.900000005747529e-07
800,mp-22881,CdCl2,3,0.012929999999999886,1.300000000981072e-07
573,mp-756365,Ca4Ce4O12,20,0.012879999999994673,1.9000000022195707e-06
1353,mp-5881,Co8S8Sb8,24,0.012799999999997924,2.2000000027277977e-06
