time_ps,P_autocorr_avg,alpha_autocorr_avg
3.754800000000000182e+01,-1.468460099129270148e-02,-3.563713001238177913e-02
3.754999999999999716e+01,-1.152426304818188543e-02,-3.384196917697855633e-02
3.755199999999999960e+01,-8.103419777339852803e-03,-3.142680701233770829e-02
3.755400000000000205e+01,-4.653505828164076000e-03,-2.847725744824922828e-02
3.755599999999999739e+01,-1.381574714161489057e-03,-2.511299061958993314e-02
3.755799999999999983e+01,1.553672394740224314e-03,-2.147913995834849557e-02
3.756000000000000227e+01,4.057743133233928171e-03,-1.773370674631479307e-02
3.756199999999999761e+01,6.106103624347825054e-03,-1.403356696703149040e-02
3.756400000000000006e+01,7.739331851074266085e-03,-1.052164618960397570e-02
3.756600000000000250e+01,9.048458434282955626e-03,-7.317007152788107191e-03
3.756799999999999784e+01,1.015289132358757236e-02,-4.508701998199297900e-03
3.757000000000000028e+01,1.117423363360731461e-02,-2.153431034664153414e-03
3.757200000000000273e+01,1.221026389093009604e-02,-2.766812271484408200e-04
3.757399999999999807e+01,1.331319331043285571e-02,1.122992591029395304e-03
3.757600000000000051e+01,1.447596513449284084e-02,2.066925048422276010e-03
3.757800000000000296e+01,1.562898765434645246e-02,2.587362391500220432e-03
3.757999999999999829e+01,1.664805244701979964e-02,2.718009010529022929e-03
3.758200000000000074e+01,1.737234771393170868e-02,2.486096255750489502e-03
3.758400000000000318e+01,1.762982958596264610e-02,1.908062356017450846e-03
3.758599999999999852e+01,1.726587330710978654e-02,9.901107713222974741e-04
3.758800000000000097e+01,1.617079575134047417e-02,-2.664342460218488526e-04
3.759000000000000341e+01,1.430182683916827666e-02,-1.856529223782497949e-03
3.759199999999999875e+01,1.169605974286704562e-02,-3.761958766830210150e-03
3.759400000000000119e+01,8.472241856205781768e-03,-5.943387576225289334e-03
3.759599999999999653e+01,4.820865775701294563e-03,-8.335463545640452512e-03
3.759799999999999898e+01,9.838495098182854261e-04,-1.084579376916225586e-02
3.760000000000000142e+01,-2.773506733709531300e-03,-1.335775268825837095e-02
3.760199999999999676e+01,-6.194190928869323931e-03,-1.573682629891206414e-02
3.760399999999999920e+01,-9.060327888461972359e-03,-1.783995675473173254e-02
