time_ps,P_autocorr_avg,alpha_autocorr_avg
6.780000000000000249e+00,1.318200400295512983e-02,1.243632410514929412e-02
6.782000000000000028e+00,1.007768230215099620e-02,1.279192527641457959e-02
6.783999999999999808e+00,5.560970304386270678e-03,1.247139584739097133e-02
6.785999999999999588e+00,-3.339513950513067460e-04,1.159678010478778186e-02
6.788000000000000256e+00,-7.375632528132825688e-03,1.044912084809812743e-02
6.790000000000000036e+00,-1.515499224216981800e-02,9.333661027240543195e-03
6.791999999999999815e+00,-2.313006370273563983e-02,8.421375559946910061e-03
6.793999999999999595e+00,-3.068958818296310675e-02,7.660274049179270801e-03
6.796000000000000263e+00,-3.722655086741814140e-02,6.813613119414143118e-03
6.798000000000000043e+00,-4.221146556025842655e-02,5.614783029171237401e-03
6.799999999999999822e+00,-4.525557485924876222e-02,3.963281301681114040e-03
6.801999999999999602e+00,-4.615558939277800837e-02,2.056675228224135333e-03
6.804000000000000270e+00,-4.491436704121810897e-02,3.784604982992476269e-04
6.806000000000000050e+00,-4.173519763895545964e-02,-4.670884594210746943e-04
6.807999999999999829e+00,-3.699089069848017497e-02,5.272791777993721765e-07
6.809999999999999609e+00,-3.117204963543742172e-02,1.934689707805348690e-03
6.812000000000000277e+00,-2.482162399821279813e-02,5.102554651424034970e-03
6.814000000000000057e+00,-1.846460336003842573e-02,8.996730003299781980e-03
6.815999999999999837e+00,-1.254234173910444457e-02,1.305342904869231414e-02
6.817999999999999616e+00,-7.360599434490668058e-03,1.685868370957616449e-02
6.820000000000000284e+00,-3.058352197126717152e-03,2.023819209208345751e-02
6.822000000000000064e+00,3.982422458254756843e-04,2.319715511115983536e-02
6.823999999999999844e+00,3.196007420891592253e-03,2.576074833299325795e-02
6.825999999999999623e+00,5.632079823733514463e-03,2.781657061824645283e-02
6.828000000000000291e+00,8.054951747669852544e-03,2.905328530944441268e-02
6.830000000000000071e+00,1.079816397358068086e-02,2.903450405115657121e-02
6.831999999999999851e+00,1.411684367233972080e-02,2.737525324231134330e-02
6.833999999999999631e+00,1.813661086870569511e-02,2.393610092623615557e-02
6.836000000000000298e+00,2.282255551647560665e-02,1.893964559958441832e-02
6.838000000000000078e+00,2.797280161450267644e-02,1.294835746854706114e-02
6.839999999999999858e+00,3.323764782023262698e-02,6.705701671696592120e-03
6.841999999999999638e+00,3.816150495181418884e-02,9.061386323950753425e-04
